label,src_name,out_path,status,detail
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_1911374.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_1911374.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_8699272.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_8699272.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_8909861.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_8909861.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_6679303.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_6679303.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_5510967.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_5510967.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_6304222.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_6304222.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_3050627.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_3050627.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_5891453.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_5891453.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_5194315.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_5194315.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_8806017.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_8806017.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_4482890.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_4482890.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_4734716.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_4734716.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_1265133.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_1265133.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_8274900.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_8274900.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_8881354.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_8881354.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_2417193.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_2417193.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_6291895.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_6291895.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_1172519.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_1172519.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_1069525.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_1069525.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_6185691.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_6185691.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_9451365.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_9451365.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_8665901.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_8665901.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_4033093.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_4033093.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_2357913.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_2357913.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_2856557.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_2856557.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_8103595.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_8103595.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_7265699.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_7265699.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_3163255.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_3163255.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_1943029.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_1943029.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_1884465.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_1884465.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_9791780.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_9791780.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_7529130.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_7529130.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_4766808.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_4766808.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_9287387.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_9287387.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_5868407.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_5868407.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_8222020.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_8222020.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_7428513.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_7428513.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_9417900.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_9417900.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_7989694.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_7989694.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_4505937.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_4505937.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_8867529.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_8867529.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_2950518.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_2950518.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_9983276.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_9983276.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_6856066.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_6856066.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_9411191.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_9411191.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_3258000.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_3258000.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_6108867.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_6108867.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_1469404.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_1469404.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_1058790.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_1058790.wav,ok,
fake,LA/ASVspoof2019_LA_dev/flac/LA_D_1091158.flac,C:\Users\91807\sih\ai_voice_detector\data\fake\LA_D_1091158.wav,ok,
real,LA/ASVspoof2019_LA_dev/flac/LA_D_2178723.flac,C:\Users\91807\sih\ai_voice_detector\data\real\LA_D_2178723.wav,ok,
